Ngành,Chỉ số,2021,2022,2023,2024
Hóa chất,Doanh thu,87105344830239.0,115315405526574.0,94308338697041.0,94916342130472.0
Hóa chất,Vốn hóa,124744745493110.0,65701087484660.0,107998984915030.0,96436610106476.0
Hóa chất,EPS (VND),3195.2899756827865,6661.468124815643,2268.494435755584,2204.1721129829534
Hóa chất,P/E,13.2960472476,3.2433823776,14.653390404,14.2505285411
Hóa chất,P/B,2.9958322586,1.177593786,1.9652747627,1.778224053
Hóa chất,P/S,2.5746837876,0.8415255498,2.6811779413,2.1452880141
Hóa chất,P/Cash Flow,10.6868086117,7.0798845685,-0.4168678149,12.1913070931
Hóa chất,Số CP lưu hành,2728493953.0,2980014482.0,3016182566.0,3080340506.0
Hóa chất,EV/EBITDA,12.3844351609,3.7649468996,13.9017410639,12.5950991184
Hóa chất,BVPS (VND),15660.3809920629,19234.8402658313,18679.6829114574,18083.2236277647
Hóa chất,Chỉ số thanh toán tiền mặt,0.3984094886,0.5468439044,0.4020423595,0.2244998785
Hóa chất,Nợ/VCSH,0.2711940654,-0.5233083267,0.7867869361,0.6453416242
Hóa chất,ROE (%),0.3010623639,0.4748733229,0.3136279004,0.1731038973
Hóa chất,ROA (%),0.2086901654,0.3429870318,0.1310500174,0.1226944297
Hóa chất,Số ngày thu tiền bình quân,29.8528619148,26.5916337412,29.1028430393,28.8141460968
Hóa chất,Số ngày tồn kho bình quân,79.8460249275,87.3793526884,75.8091368559,71.3764158769
Hóa chất,Chỉ số thanh toán nhanh,1.9825591614,2.8599658017,2.9915938753,3.482424496
Hóa chất,Số ngày thanh toán bình quân,34.7792229144,35.1028212591,30.1238765904,30.8483822386
Hóa chất,Biên lợi nhuận gộp (%),0.284605692,0.3640176029,0.2372682146,0.2420594099
Hóa chất,Biên EBIT (%),0.1945589531,0.2828719367,0.1516242499,0.1503416465
Hóa chất,Biên lợi nhuận ròng (%),0.1875599271,0.267904618,0.1833598659,0.1665864491
Hóa chất,Chỉ số thanh toán hiện thời,2.7880618707,3.6058834399,3.5489983983,4.0475660582
Hóa chất,Quay vòng tài sản,1.2538882075,1.4432324069,0.9561519747,0.9926002806
Hóa chất,(Vay NH + DH)/VCSH,0.0258854171,-0.25284921,0.3944702059,0.298020734
Hóa chất,ROIC (%),0.3984094886,0.5468439044,0.4020423595,0.2244998785
Hóa chất,Vòng quay TSCĐ,6.443485,9.90074,8.218684,9.831602
Xây dựng và Vật liệu,Chu kỳ tiền,114.3896966021,153.7482120668,313.0463566044,486.7877963067
Xây dựng và Vật liệu,Tăng trưởng lợi nhuận (%),0.19312936805536643,-0.09625806307590544,-0.48480007386500606,0.26583623600247824
Xây dựng và Vật liệu,Lợi nhuận sau thuế của Cổ đông công ty mẹ,7261198161424.0,6562249290795.0,3380870349897.0,4279628198126.0
Xây dựng và Vật liệu,Tăng trưởng doanh thu (%),0.3018889125265686,0.11092349284739843,-0.14593487845407727,-0.2274956500787807
Xây dựng và Vật liệu,Doanh thu,128699863145635.0,142975701494731.0,122110559875211.0,94330938674916.0
Xây dựng và Vật liệu,Vốn hóa,116149154842487.0,69945583972570.0,88032686587290.0,87095727774934.0
Xây dựng và Vật liệu,EPS (VND),2074.092532022115,1753.414272847804,883.6091835859495,1067.145775156046
Xây dựng và Vật liệu,P/E,20.2465194485,11.9529222467,20.5482939246,20.9780961695
Xây dựng và Vật liệu,P/B,2.457501919,1.3381507405,1.6584124879,1.6001503125
Xây dựng và Vật liệu,P/S,2.3952743118,3.8166235518,11.7040916355,27.4364637974
Xây dựng và Vật liệu,P/Cash Flow,54.8797713376,-34.7002472938,-19.8257197743,-9.6009139403
Xây dựng và Vật liệu,Số CP lưu hành,3500903672.0,3742554964.0,3826205536.0,4010350130.0
Xây dựng và Vật liệu,EV/EBITDA,20.8807708666,26.8560044218,48.1231948629,61.6746831208
Xây dựng và Vật liệu,BVPS (VND),14432.8839834064,15250.9842361468,15180.0725213563,14938.8890135281
Xây dựng và Vật liệu,Chỉ số thanh toán tiền mặt,0.3458475843,0.3275613806,0.4641627677,0.5036569441
Xây dựng và Vật liệu,Nợ/VCSH,0.9616024961,0.9732590278,0.9531762387,0.884886848
Xây dựng và Vật liệu,ROE (%),0.1496031981,0.1137734494,0.1338875522,0.1322691295
Xây dựng và Vật liệu,ROA (%),0.0897822397,0.0750891189,0.0848387029,0.0868014651
Xây dựng và Vật liệu,Số ngày thu tiền bình quân,78.4512024374,82.6041475459,194.2904817912,360.8878150977
Xây dựng và Vật liệu,Số ngày tồn kho bình quân,157.7379811097,125.2677040706,183.8960019369,196.6158748399
Xây dựng và Vật liệu,Chỉ số thanh toán nhanh,1.7271352487,1.6391976121,1.6515945711,1.6851709459
Xây dựng và Vật liệu,Số ngày thanh toán bình quân,121.799486945,54.1236395497,65.1401271237,70.7158936309
Xây dựng và Vật liệu,Biên lợi nhuận gộp (%),0.2188357523,0.2158665672,0.2375567983,0.2473406682
